"ID","Reported Fiscal Year","Fiscal Year","Borough (Code)","Full Borough Name","Council District","Neighborhoods","Sponsor","Project Title","Project Description","Budget Line","Award Amount ($)"
"E  CN058","FY19","FY19","M","Manhattan",8,"Upper East Side, Carnegie Hill, Yorkville, Lenox Hill","Ayala","CENTRAL PARK EAST HIGH SCHOOL (04M55) - TECHNOLOGY","TECHNOLOGY UPGRADE AT CENTRAL PARK EAST HIGH SCHOOL","E  D001",100000
"E  CN059","FY19","FY19","M","Manhattan",8,"Upper East Side, Carnegie Hill, Yorkville, Lenox Hill","Ayala","CENTRAL PARK EAST II (04M964) - TECHNOLOGY","TECHNOLOGY UPGRADE AT CENTRAL PARK EAST II","E  D001",100000
"E  CN060","FY19","FY19","Q","Queens",31,"","Richards","CHALLENGE PREP ACADEMY (ELEMENTARY AND MIDDLE SCHOOL)","FUNDS WILL BE USED FOR TECHNOLOGY UPGRADES.","E  D001",500000
"E  CN061","FY19","FY19","M","Manhattan",3,"Lower East Side, Chinatown, Two Bridges, Alphabet City","Johnson","CITY KNOLL MIDDLE SCHOOL (M933)","TECHNOLOGY UPGRADE","E  D001",45000
"E  CN062","FY19","FY19","R","Staten Island",50,"Mid-Island, New Dorp, Oakwood, Great Kills","Matteo","COLLEGE OF STATEN ISLAND HIGH SCHOOL FOR INTERNATIONAL STUDIES - TECHNO","TECHNOLOGY (PRINCIPAL JOSEPH CANALE)","E  D001",50000
"E  CN063","FY19","FY19","X","Bronx",13,"","Gjonaj","COLLEGIATE INSTITUTE FOR MATH & SCIENCE- SCIENCE LAB","WORK STATION WITH ACCESS TO WATER AND GAS SAFETY OUTLETS, SPECTROMETER, FUME HOOD & SMART BOARDS","E  D001",50000
"E  CN064","FY19","FY19","X","Bronx",13,"","Gjonaj","COLLEGIATE INSTITUTE FOR MATH & SCIENCE: UPGRADE","TECHNOLOGY PURCHASES","E  D001",50000
"E  CN065","FY19","FY19","M","Manhattan",7,"Upper West Side, Manhattan Valley, Morningside Heights","Levine","COLUMBIA SECONDARY SCHOOL MANHATTAN","RENOVATION OF THE THIRD FLOOR TO BE A MEDIA LAB/LIBRARY","E  D001",100000
"E  CN066","FY19","FY19","X","Bronx",8,"","Ayala","COMMUNITY SCHOOL DISTRICT 7 - TECHNOLOGY","TECHNOLOGY UPGRADE FOR COMMUNITY SCHOOL DISTRICT 7'S OFFICE","E  D001",250000
"E  CN067","FY19","FY19","X","Bronx",18,"","Diaz Sr.","COMP SCI HIGH SCHOOL - BRONX - TECHNOLOGY PURCHASES","MOBILE LAPTOP LABS, DESKTOPS, 3D PRINTERS FOR COMP SCI HIGH SCHOOL","E  D001",75000
"E  CN068","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","COMPUTERS AND COMPUTER CARTS FOR 29Q095","PROJECT WILL PROVIDE COMPUTERS AND COMPUTER CARTS","E  D001",100000
"E  CN069","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","COMPUTERS FOR 28Q287","FUNDING WILL PROVIDE COMPUTERS FOR STUDENTS AT THE EMERSON SCHOOL","E  D001",80000
"E  CN070","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","CONFGURATION #3A FOR 29Q134","PROJECT WILL PROVIDE TWO CLASSROOM LAB UPGRADES FOR PS 134 Q","E  D001",100000
"E  CN071","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","CONFIGURATION #1 FOR 29Q341","PROJECT WILL PROVIDE 15 PROMETHEANS THROUGHOUT RIVERTON CHARTER SCHOOL","E  D001",120000
"E  CN072","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","CONFIGURATION #1A FOR 29Q192","FUNDING WILL PROVIDE TWO STATIONARY CLASSROOM/LIBRARY TECHNOLOGY ENVIRONMENTS FOR IS 192Q","E  D001",75000
"E  CN073","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","CONFIGURATION #1C FOR 29Q208","FUNDING WILL PROVIDE TWO MOBILE CLASSROOM/LIBRARY MULTI-USER ENVIRONMENTS FOR PS/IS 208 Q","E  D001",70000
"E  CN074","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","CONFIGURATION #5 FOR 29Q360","PROJECT WILL PROVIDE TWO WIRELESS CLASSROOM TECHNOLOGY ENVIRONMENTS","E  D001",70000
"E  CN075","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","CONFIGURATION #8 FOR 29Q176","PROJECT WILL PROVIDE TWO WIRELESS CLASSROOM TECHNOLOGY ENVIRONMENTS FOR PS 176Q","E  D001",100000
"E  CN076","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","CONFIGURATION #8 FOR QUEENS HS FOR THE SCIENCES","PROJECT WILL PROVIDE WIRELESS CLASSROOM TECHNOLOGY FOR THREE CLASSROOMS","E  D001",150000
"E  CN077","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","CONFIGURATION #9 FOR 29Q116","PROJECT WILL PROVIDE TWO WIRELESS INTERACTIVE WHITE BOARD PRESENTATION STATIONS","E  D001",80000
"E  CN078","FY19","FY19","X","Bronx",14,"","Cabrera","CRESTON ACADEMY - 125 E. 181ST STREET (MS 447)","SECURITY SYSTEM UPGRADES","E  D001",100000
"E  CN079","FY19","FY19","Q","Queens",21,"Elmhurst, Corona","Moya","DISTRICT 30 PRE-K CENTER - 30Q389- TECHNOLOGY","TECHNOLOGY","E  D001",35000
"E  CN080","FY19","FY19","K","Brooklyn",44,"","Yeger","DOE TECH UPGRADES FOR SEEDS OF UNITY UPK PROGRAM","FUNDS WILL BE USED FOR DOE TECH UPGRADES FOR THE SEEDS OF UNITY UPK PROGRAM.","E  D001",50000
"E  CN081","FY19","FY19","X","Bronx",16,"","Gibson","DOE X011 - HIGHBRIDGE","TECHNOLOGY","E  D001",50000
"E  CN082","FY19","FY19","X","Bronx",16,"","Gibson","DOE X053 - BASHEER QUISIM","TECHNOLOGY","E  D001",150000
"E  CN083","FY19","FY19","X","Bronx",16,"","Gibson","DOE X055 - BENJAMIN FRANKLIN","AUDITORIUM SUPPLEMENTAL COOLING","E  D001",300000
"E  CN084","FY19","FY19","X","Bronx",16,"","Gibson","DOE X128 - MOTT HALL III","TECHNOLOGY","E  D001",140000
"E  CN085","FY19","FY19","X","Bronx",16,"","Gibson","DOE X166 - ROBERTO CLEMENTE CAMPUS","AUDITORIUM UPGRADE","E  D001",300000
"E  CN086","FY19","FY19","X","Bronx",16,"","Gibson","DOE X186 - WALTER J. DAMROSCH SCHOOL","AUDOTIRUM UPGRADE","E  D001",500000
"E  CN087","FY19","FY19","X","Bronx",16,"","Gibson","DOE X215 - KAPPA","TECHNOLOGY","E  D001",75000
"E  CN088","FY19","FY19","X","Bronx",16,"","Gibson","DOE X263 - VALIDUS PREPARATORY ACADEMY","TECHNOLOGY","E  D001",50000
"E  CN089","FY19","FY19","X","Bronx",16,"","Gibson","DOE X294 - THE WALTON AVENUE SCHOOL","TECHNOLOGY","E  D001",150000
"E  CN090","FY19","FY19","X","Bronx",16,"","Gibson","DOE X339 - I.S. 339","CAFETERIA SUPPLEMENTAL COOLING","E  D001",125000
"E  CN091","FY19","FY19","X","Bronx",16,"","Gibson","DOE X443 - THE FAMILY SCHOOL","AUDITORIUM UPGRADE","E  D001",50000
"E  CN092","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: CONCORD HS - DISTRICT 31","TECHNOLOGY UPGRADES","E  D001",68000
"E  CN093","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 10R: FORT HILL COLLABORATIVE ELEMENTARY SCHOOL","UNDERFUNDED PROJECT: FY18 RESO-A: PLAYGROUND","E  D001",100000
"E  CN094","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 13R M. L. LINDEMEYER","TECHNOLOGY UPGRADES","E  D001",68000
"E  CN095","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 31R: THE WILLIAM T. DAVIS SCHOOL","TECHNOLOGY UPGRADES","E  D001",68000
"E  CN096","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 35R: CLOVE VALLEY SCHOOL","TECHNOLOGY UPGRADES","E  D001",68000
"E  CN097","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 45R: THE JOHN TYLER SCHOOL","UNDERFUNDED PROJECT: FY18 RESO-A: SUPPLEMENTAL COOLING","E  D001",413000
"E  CN098","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 45R: THE JOHN TYLER SCHOOL","TECHNOLOGY UPGRADES","E  D001",68000
"E  CN099","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 57R: THE HUBRET H. HUMPHREY SCHOOL","AUDITORIUM UPGRADE","E  D001",151000
"E  CN100","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 65R: THE ACADEMY OF INNOVATIVE LEARNING","TECHNOLOGY UPGRADES","E  D001",68000
"E  CN101","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE: P.S. 861R: STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP","CAMPUS LIBRARY","E  D001",37000
"E  CN102","FY19","FY19","R","Staten Island",49,"St. George, Tompkinsville, Stapleton, New Brighton","Rose","DOE:P.S. 721R: HUNGERFORD SCHOOL","TECHNOLOGY UPGRADES","E  D001",68000
"E  CN103","FY19","FY19","Q","Queens",21,"Elmhurst, Corona","Moya","EAST ELMHURST COMMUNITY SCHOOL -30Q329 - MUSIC ROOM","MUSIC ROOM RENOVATION","E  D001",100000
"E  CN104","FY19","FY19","M","Manhattan",2,"Greenwich Village, West Village, SoHo, NoHo, Little Italy, Chinatown","Rivera","EAST SIDE COMMUNITY SCHOOL (01M450) - TECHNOLOGY","TECHNOLOGY","E  D001",107000
"E  CN105","FY19","FY19","Q","Queens",20,"Flushing, Queensboro Hill, Murray Hill","Koo","EAST-WEST SCHOOL OF INTERNATIONAL STUDIES","TECHNOLOGY UPGRADE","E  D001",100000
"E  CN106","FY19","FY19","M","Manhattan",1,"Financial District, Tribeca, Chinatown, SoHo, Battery Park City","Chin","EMMA LAZARUS HS BATHROOM UPGRADES","TO PROVIDE UPGRADES TO BATHROOMS","E  D001",100000
"E  CN107","FY19","FY19","Q","Queens",28,"","Adams","EPIC HS NORTH TECHNOLOGY","TECHNOLOGY","E  D001",70000
"E  CN108","FY19","FY19","M","Manhattan",8,"Upper East Side, Carnegie Hill, Yorkville, Lenox Hill","Ayala","ESPERANZA PREPARATORY ACADEMY (04M372) - WATER FOUNTAINS","WATER FOUNTAINS UPGRADE FOR ESPERANZA PREPARATORY ACADEMY","E  D001",40000
"E  CN109","FY19","FY19","M","Manhattan",1,"Financial District, Tribeca, Chinatown, SoHo, Battery Park City","Chin","ESSEX STREET ACADEMY - LAPTOP CARTS","TO PURACHSE MACBOOK CART","E  D001",65000
"E  CN110","FY19","FY19","K","Brooklyn",37,"East New York, Cypress Hills, Starrett City","Espinal","EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION (32K562)-- TECHNOLOGY PUR","LAPTOPS, LAPTOP CHARGING CARTS AND TECHNOLOGY PURCHASES FOR EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION","E  D001",177000
"E  CN111","FY19","FY19","K","Brooklyn",47,"","Treyger","EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS (21K572) - TECHNOLO","TECHNOLOGY","E  D001",35000
"E  CN112","FY19","FY19","X","Bronx",16,"","Gibson","FAMILY LIFE ACADEMY CHARTER","TECHNOLOGY","E  D001",50000
"E  CN113","FY19","FY19","Q","Queens",20,"Flushing, Queensboro Hill, Murray Hill","Koo","FLUSHING HIGH SCHOOL","DOOR REPLACEMENT","E  D001",100000
"E  CN114","FY19","FY19","Q","Queens",20,"Flushing, Queensboro Hill, Murray Hill","Koo","FLUSHING INTERNATIONAL HIGH SCHOOL","ELECTRICAL UPGRADE","E  D001",100000
"E  CN115","FY19","FY19","Q","Queens",27,"Far Rockaway, Edgemere, Arverne","Miller","FOOTBALL FIELD HOUSE UPGRADES AT CAMPUS MAGNET COMPLEX","PROJECT WILL PROVIDE UPGRADES TO THE LOCKER ROOM FACILITIES AT 29Q490","E  D001",500000
"E  CN116","FY19","FY19","Q","Queens",29,"","Koslowitz","FOREST HILLS HS TECHNOLOGY PURCHASES","LAPTOP PURCHASES FOR FOREST HILLS HIGH SCHOOL","E  D001",100000
"E  CN117","FY19","FY19","Q","Queens",29,"","Koslowitz","FOREST HILLS HS WATER FOUNTAINS AND WATER BOTTLE FILL STATIONS","FOREST HILLS HS WATER FOUNTAINS AND WATER BOTTLE FILL STATIONS","E  D001",40000
"E  CN118","FY19","FY19","M","Manhattan",1,"Financial District, Tribeca, Chinatown, SoHo, Battery Park City","Chin","FORSYTH SATELLITE ACADEMY TECHNOLOGY","TO PURCHASE LAPTOP CARTS","E  D001",50000
"E  CN119","FY19","FY19","Q","Queens",20,"Flushing, Queensboro Hill, Murray Hill","Koo","FRANCIS LEWIS HIGH SCHOOL","ADDITIONAL FUNDING FOR ROOFTOP GREENHOUSE","E  D001",250000
"E  CN120","FY19","FY19","Q","Queens",26,"Bayside, Douglaston, Little Neck","Van Bramer","FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL","TECHNOLOGY UPGRADES","E  D001",35000
"E  CN121","FY19","FY19","R","Staten Island",50,"Mid-Island, New Dorp, Oakwood, Great Kills","Matteo","GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL - TECHNOLOGY","TECHNOLOGY (PRINCIPALTRACI FREY)","E  D001",50000
"E  CN122","FY19","FY19","R","Staten Island",51,"South Shore, Tottenville, Annadale, Eltingville","Borelli","GAYNOR MCCOWN HIGH SCHOOL CONNECTIVITY UPGRADE","FUNDS WILL BE USED TO UPGRADE WIFI AND RADIO-REPEATER CAPABILITY AT THIS SCHOOL.","E  D001",150000
"E  CN123","FY19","FY19","K","Brooklyn",48,"","Deutsch","GOLDSTEIN HS","TECHNOLOGY UPGRADES","E  D001",130000
"E  CN124","FY19","FY19","X","Bronx",18,"","Diaz Sr.","GOTHAM COLLABORATIVE HS X452 - TECHNOLOGY PURCHASES","SMART BOARDS, LAPTOPS, MOBILE SCIENCE LABS","E  D001",60000
